"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.540040417×10^-1,2.416117016×10^-2,1.365384496×10^0,-2.820123804×10^-1,1.394413700×10^0
7.639540417×10^-1,-4.567872277×10^-2,1.517056593×10^0,-2.831397966×10^-1,1.543928559×10^0
7.739030417×10^-1,-8.496737072×10^-2,1.636815171×10^0,-1.287580276×10^-1,1.644068729×10^0
7.838520417×10^-1,-1.625393841×10^-1,1.743148541×10^0,1.555277868×10^-1,1.757604842×10^0
7.938020417×10^-1,-2.360960231×10^-1,1.848194940×10^0,3.137978812×10^-1,1.889453619×10^0
8.037510417×10^-1,-3.125807467×10^-1,2.046887421×10^0,2.241530851×10^-1,2.082714441×10^0
8.137010417×10^-1,-2.953152711×10^-1,2.227614332×10^0,1.126338188×10^-1,2.249925132×10^0
8.236500417×10^-1,-2.941426485×10^-1,2.381683202×10^0,-6.967417918×10^-2,2.400789300×10^0
8.336000417×10^-1,-2.645466010×10^-1,2.502021824×10^0,-1.710590514×10^-1,2.521777014×10^0
8.435490417×10^-1,-1.747879304×10^-1,2.619503496×10^0,-2.590971422×10^-1,2.638082772×10^0
8.534990417×10^-1,-6.513217170×10^-2,2.750151928×10^0,-3.437777618×10^-1,2.772320504×10^0
8.634480417×10^-1,1.008699518×10^-3,2.863468629×10^0,-3.286041641×10^-1,2.882262011×10^0
8.733980417×10^-1,5.543509444×10^-2,2.960899029×10^0,-3.938801408×10^-1,2.987496891×10^0
8.833470417×10^-1,1.467446659×10^-1,3.044820607×10^0,-4.053267232×10^-1,3.075183942×10^0
8.932970417×10^-1,2.201112887×10^-1,3.098428465×10^0,-4.536351764×10^-1,3.139186647×10^0
9.032460417×10^-1,2.700671583×10^-1,3.179379072×10^0,-6.007720991×10^-1,3.246893080×10^0
9.131960417×10^-1,2.921411466×10^-1,3.241892239×10^0,-7.002063402×10^-1,3.329489550×10^0
9.231450417×10^-1,2.711849815×10^-1,3.263053898×10^0,-6.848164686×10^-1,3.345151062×10^0
9.330950417×10^-1,2.285148522×10^-1,3.238209078×10^0,-5.529138815×10^-1,3.293012425×10^0
9.430440417×10^-1,1.967268297×10^-1,3.192532384×10^0,-4.039502156×10^-1,3.223994455×10^0
9.529940417×10^-1,1.631644332×10^-1,3.153093499×10^0,-2.658015597×10^-1,3.168480979×10^0
9.629430417×10^-1,1.350061795×10^-1,3.152269042×10^0,-1.700077951×10^-1,3.159735658×10^0
9.728930417×10^-1,1.418846612×10^-1,3.169337064×10^0,-2.631199535×10^-1,3.183403963×10^0
9.828420417×10^-1,1.796568704×10^-1,3.143198841×10^0,-2.342008674×10^-1,3.157027968×10^0
9.927920417×10^-1,1.669979408×10^-1,3.068232858×10^0,-2.111675155×10^-1,3.080021575×10^0
1.002741042×10^0,1.779068718×10^-1,2.997456406×10^0,-1.362681913×10^-1,3.005821814×10^0
1.012691042×10^0,1.915895392×10^-1,2.907960677×10^0,-2.478042684×10^-2,2.914370587×10^0
1.022640042×10^0,1.746807071×10^-1,2.831064529×10^0,5.615673222×10^-2,2.837004282×10^0
1.032589042×10^0,1.835412854×10^-1,2.728668673×10^0,1.296643460×10^-1,2.737906677×10^0
1.042539042×10^0,1.700867325×10^-1,2.627908283×10^0,2.099688363×10^-1,2.641764250×10^0
1.052488042×10^0,1.536683357×10^-1,2.530953847×10^0,1.956968062×10^-1,2.543155239×10^0
1.062438042×10^0,1.285907241×10^-1,2.413436506×10^0,1.130933368×10^-1,2.419504381×10^0
1.072387042×10^0,9.577216644×10^-2,2.277062480×10^0,9.553305186×10^-2,2.281077029×10^0
1.082337042×10^0,6.928563170×10^-2,2.108857382×10^0,1.665743101×10^-1,2.116560171×10^0
1.092286042×10^0,3.247971151×10^-2,1.965742686×10^0,2.071259201×10^-1,1.976891597×10^0
1.102236042×10^0,-2.378208786×10^-2,1.807679583×10^0,2.201419683×10^-1,1.821190146×10^0
1.112185042×10^0,-2.794713266×10^-2,1.638820766×10^0,2.433576802×10^-1,1.657026706×10^0
1.122135042×10^0,5.664855614×10^-3,1.470537899×10^0,2.478576243×10^-1,1.491290450×10^0
1.132084042×10^0,4.529816039×10^-2,1.303288820×10^0,2.301078165×10^-1,1.324221764×10^0
1.142034042×10^0,6.730609339×10^-2,1.143455765×10^0,1.584466803×10^-1,1.156341882×10^0
1.151983042×10^0,8.437671058×10^-2,9.641813028×10^-1,1.181793912×10^-1,9.750545536×10^-1
1.161933042×10^0,1.277194890×10^-1,7.877333844×10^-1,9.874668159×10^-2,8.041063735×10^-1
1.171882042×10^0,1.718761998×10^-1,6.091371989×10^-1,9.417890981×10^-2,6.398900079×10^-1
