"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.022327042×10^0,-2.956260871×10^-3,3.099044176×10^0,-2.126351666×10^-1,3.106331801×10^0
5.032276042×10^0,8.314046301×10^-3,3.140321426×10^0,-2.451175459×10^-1,3.149884187×10^0
5.042225042×10^0,6.198889129×10^-3,3.161490101×10^0,-2.798395550×10^-1,3.173857000×10^0
5.052175042×10^0,1.631025989×10^-2,3.164014928×10^0,-3.243789661×10^-1,3.180641163×10^0
5.062124042×10^0,2.678636899×10^-2,3.161933904×10^0,-3.664602077×10^-1,3.183211681×10^0
5.072074042×10^0,3.363727748×10^-2,3.126033754×10^0,-3.773266733×10^-1,3.148903606×10^0
5.082023042×10^0,3.383608282×10^-2,3.091017119×10^0,-4.198289144×10^-1,3.119581386×10^0
5.091973042×10^0,2.384260654×10^-2,3.064038066×10^0,-4.438398477×10^-1,3.096109098×10^0
5.101922042×10^0,2.144650893×10^-2,3.010192226×10^0,-4.625007248×10^-1,3.045590930×10^0
5.111872042×10^0,2.730247714×10^-2,2.970321232×10^0,-4.727988410×10^-1,3.007838492×10^0
5.121821042×10^0,2.246054403×10^-2,2.882898341×10^0,-4.787103760×10^-1,2.922459743×10^0
5.131771042×10^0,2.507468797×10^-2,2.788474579×10^0,-4.682636674×10^-1,2.827629764×10^0
5.141720042×10^0,2.688334141×10^-2,2.666694034×10^0,-4.437824719×10^-1,2.703501927×10^0
5.151669042×10^0,2.508097373×10^-2,2.565014462×10^0,-4.076327920×10^-1,2.597324150×10^0
5.161619042×10^0,1.688215412×10^-2,2.470581930×10^0,-3.625495899×10^-1,2.497098773×10^0
5.171568042×10^0,2.422187157×10^-2,2.345394212×10^0,-3.243169856×10^-1,2.367834922×10^0
5.181518042×10^0,4.203570642×10^-2,2.212805089×10^0,-2.760518018×10^-1,2.230353774×10^0
5.191467042×10^0,4.849772025×10^-2,2.047862152×10^0,-2.144606674×10^-1,2.059632200×10^0
5.201417042×10^0,5.523616120×10^-2,1.902976334×10^0,-1.786032021×10^-1,1.912137303×10^0
5.211366042×10^0,6.613219175×10^-2,1.735365313×10^0,-1.154567814×10^-1,1.740458705×10^0
5.221316042×10^0,8.547251534×10^-2,1.575296030×10^0,-5.200513601×10^-2,1.578470040×10^0
5.231265042×10^0,7.607505307×10^-2,1.419032700×10^0,-4.013455734×10^-3,1.421076115×10^0
5.241215042×10^0,9.909119222×10^-2,1.246248062×10^0,4.501303554×10^-2,1.250991395×10^0
5.251164042×10^0,9.957497623×10^-2,1.054275202×10^0,7.182843961×10^-2,1.061400349×10^0
5.261114042×10^0,1.235289357×10^-1,8.823296392×10^-1,1.014293110×10^-1,8.966899661×10^-1
5.271063042×10^0,1.319879564×10^-1,6.956800836×10^-1,1.297836292×10^-1,7.198856783×10^-1
5.281012042×10^0,1.339333250×10^-1,5.121529412×10^-1,1.413798273×10^-1,5.479297640×10^-1
5.290962042×10^0,1.454581140×10^-1,3.263564944×10^-1,1.664608010×10^-1,3.941774000×10^-1
5.300911042×10^0,1.528838952×10^-1,1.294310421×10^-1,1.675975728×10^-1,2.611796823×10^-1
5.310861042×10^0,1.625205451×10^-1,-6.469359398×10^-2,1.732436442×10^-1,2.461941286×10^-1
5.320810042×10^0,1.760808229×10^-1,-2.482546502×10^-1,1.826412892×10^-1,3.549544592×10^-1
5.330760042×10^0,1.792114222×10^-1,-4.251709306×10^-1,1.665789147×10^-1,4.905462149×10^-1
5.340709042×10^0,1.827111635×10^-1,-6.120701623×10^-1,1.700838089×10^-1,6.610156994×10^-1
5.350659042×10^0,1.813102802×10^-1,-7.929648882×10^-1,1.645640373×10^-1,8.299084612×10^-1
5.360608042×10^0,1.908336038×10^-1,-9.647332799×10^-1,1.539267826×10^-1,9.954000302×10^-1
5.370558042×10^0,1.915529210×10^-1,-1.128751772×10^0,1.567463831×10^-1,1.155570211×10^0
5.380507042×10^0,1.980201242×10^-1,-1.319332411×10^0,1.526428071×10^-1,1.342814137×10^0
5.390456042×10^0,1.905868148×10^-1,-1.485469934×10^0,1.548167288×10^-1,1.505626938×10^0
5.400406042×10^0,1.919879173×10^-1,-1.654398918×10^0,1.583412842×10^-1,1.673011387×10^0
5.410355042×10^0,1.858202742×10^-1,-1.799212815×10^0,1.621865594×10^-1,1.816039759×10^0
5.420305042×10^0,1.899266276×10^-1,-1.934740748×10^0,1.638752353×10^-1,1.950935412×10^0
5.430254042×10^0,1.863948728×10^-1,-2.075669171×10^0,1.820507205×10^-1,2.091957939×10^0
5.440204042×10^0,1.843100846×10^-1,-2.218851694×10^0,1.965119080×10^-1,2.235148760×10^0
5.450153042×10^0,1.742785649×10^-1,-2.359225801×10^0,2.051366973×10^-1,2.374531630×10^0
5.460103042×10^0,1.667992086×10^-1,-2.475072591×10^0,2.287639801×10^-1,2.491212409×10^0
5.470052042×10^0,1.478094987×10^-1,-2.558759696×10^0,2.456811444×10^-1,2.574773399×10^0
5.480002042×10^0,1.345999442×10^-1,-2.665963717×10^0,2.671686387×10^-1,2.682696175×10^0
5.489951042×10^0,1.359651228×10^-1,-2.765216694×10^0,2.869358090×10^-1,2.783386793×10^0
5.499900042×10^0,1.323515801×10^-1,-2.851288878×10^0,3.255903630×10^-1,2.872868652×10^0
5.509850042×10^0,1.200522909×10^-1,-2.916513984×10^0,3.367012422×10^-1,2.938338663×10^0
5.519799042×10^0,1.059899565×10^-1,-2.968522044×10^0,3.545950377×10^-1,2.991503742×10^0
5.529749042×10^0,1.081422801×10^-1,-3.002374499×10^0,3.685057099×10^-1,3.026837267×10^0
5.539698042×10^0,1.010894416×10^-1,-3.036003006×10^0,3.811999420×10^-1,3.061510529×10^0
5.549648042×10^0,8.846402396×10^-2,-3.063673199×10^0,4.104289305×10^-1,3.092308404×10^0
5.559597042×10^0,8.068258591×10^-2,-3.086160421×10^0,4.221247505×10^-1,3.115940489×10^0
5.569547042×10^0,7.276797753×10^-2,-3.092052076×10^0,4.391680685×10^-1,3.123931787×10^0
5.579496042×10^0,6.463378793×10^-2,-3.073704683×10^0,4.343791258×10^-1,3.104919198×10^0
5.589446042×10^0,5.874065336×10^-2,-3.037098189×10^0,4.488087384×10^-1,3.070642467×10^0
5.599395042×10^0,5.242006905×10^-2,-2.998515921×10^0,4.426518396×10^-1,3.031466022×10^0
5.609345042×10^0,3.782138055×10^-2,-2.953173687×10^0,4.343778102×10^-1,2.985188330×10^0
5.619294042×10^0,2.861998273×10^-2,-2.922619647×10^0,4.330330968×10^-1,2.954664510×10^0
5.629243042×10^0,2.720349474×10^-2,-2.847723831×10^0,4.208556855×10^-1,2.878782825×10^0
5.639193042×10^0,1.481719164×10^-2,-2.771622904×10^0,4.059746678×10^-1,2.801236959×10^0
5.649142042×10^0,8.830994982×10^-3,-2.682915965×10^0,3.799393554×10^-1,2.709699241×10^0
5.659092042×10^0,1.500108657×10^-2,-2.562155174×10^0,3.654814569×10^-1,2.588134630×10^0
5.669041042×10^0,-3.294961861×10^0,-2.060783329×10^0,9.132228184×10^-1,3.992189564×10^0
5.678991042×10^0,-2.098200393×10^0,-2.251828237×10^0,9.342355187×10^-1,3.216515397×10^0
5.688940042×10^0,7.256676753×10^-1,-2.253742030×10^0,1.109520864×10^-1,2.370286286×10^0
5.698890042×10^0,-2.287238901×10^-2,-2.165154959×10^0,5.111448812×10^-1,2.224789480×10^0
5.708839042×10^0,-2.040007660×10^-2,-1.982026597×10^0,2.205147283×10^-1,1.994360133×10^0
5.718789042×10^0,4.122793185×10^-2,-1.776666536×10^0,1.502863061×10^-1,1.783488070×10^0
5.728738042×10^0,-6.812002581×10^-2,-1.646871212×10^0,7.594948411×10^-2,1.650028318×10^0
5.738687042×10^0,-1.757183686×10^-1,-1.472340011×10^0,-6.296398759×10^-2,1.484124832×10^0
5.748637042×10^0,-5.055626906×10^-2,-1.318263540×10^0,6.915626206×10^-2,1.321044013×10^0
5.758586042×10^0,3.646420525×10^-2,-1.136063130×10^0,-7.516244888×10^-2,1.139130576×10^0
5.768536042×10^0,1.425138947×10^-1,-9.079585701×10^-1,-1.715630814×10^-1,9.349507293×10^-1
5.778485042×10^0,1.688856048×10^-1,-7.451299864×10^-1,-1.898731256×10^-1,7.872692347×10^-1
5.788435042×10^0,1.486077989×10^-1,-5.664320594×10^-1,-1.976335502×10^-1,6.180522437×10^-1
5.798384042×10^0,2.170457945×10^-1,-3.562503844×10^-1,-2.037438174×10^-1,4.642572094×10^-1
5.808334042×10^0,1.778258148×10^-1,-2.140835220×10^-1,-1.621338614×10^-1,3.220887514×10^-1
5.818283042×10^0,1.017697286×10^-1,-3.297888100×10^-2,-9.554584265×10^-2,1.434353245×10^-1
5.828233042×10^0,7.207234159×10^-2,1.610469371×10^-1,-6.568177342×10^-2,1.882674527×10^-1
5.838182042×10^0,4.245930064×10^-2,3.471819377×10^-1,-1.137973416×10^-1,3.678150691×10^-1
5.848131042×10^0,6.407313131×10^-2,5.395149869×10^-1,-1.047106954×10^-1,5.533047234×10^-1
5.858081042×10^0,3.410708299×10^-2,7.073943955×10^-1,-6.895263277×10^-2,7.115648877×10^-1
5.868030042×10^0,-7.373198239×10^-2,8.493712234×10^-1,-1.609373018×10^-2,8.527173556×10^-1
5.877980042×10^0,-1.322058383×10^-1,1.040923085×10^0,6.793521725×10^-2,1.051482023×10^0
5.887929042×10^0,-1.541330249×10^-1,1.204545135×10^0,1.106737590×10^-1,1.219399300×10^0
5.897879042×10^0,-3.121396474×10^-1,1.360126680×10^0,1.632753110×10^-1,1.405003407×10^0
5.907828042×10^0,-3.421452558×10^-1,1.549868828×10^0,1.628168162×10^-1,1.595514361×10^0
5.917778042×10^0,-3.009345184×10^-1,1.705624035×10^0,7.810235582×10^-2,1.733728615×10^0
5.927727042×10^0,-2.418778961×10^-1,1.873418074×10^0,-8.306554556×10^-3,1.888986288×10^0
5.937677042×10^0,-1.665244626×10^-1,2.067616970×10^0,-5.762197137×10^-2,2.075112195×10^0
5.947626042×10^0,-1.556458275×10^-1,2.204212605×10^0,-8.668029428×10^-2,2.211400531×10^0
5.957575042×10^0,-1.332441393×10^-1,2.346205806×10^0,-1.497378373×10^-1,2.354752026×10^0
5.967525042×10^0,-1.286515900×10^-1,2.455842268×10^0,-1.124150598×10^-1,2.461777737×10^0
5.977474042×10^0,-2.573739678×10^-1,2.525970849×10^0,-1.161653908×10^-1,2.541705036×10^0
5.987424042×10^0,-2.287133103×10^-1,2.641452774×10^0,-2.695695785×10^-1,2.665004745×10^0
5.997373042×10^0,-1.565180310×10^-1,2.757252787×10^0,-3.064443862×10^-1,2.778641572×10^0
6.007323042×10^0,-1.235012710×10^-1,2.847301662×10^0,-4.009927670×10^-1,2.878050472×10^0
6.017272042×10^0,-4.751606410×10^-2,2.935789915×10^0,-4.719136456×10^-1,2.973856535×10^0
6.027222042×10^0,-6.699292017×10^-2,3.004746714×10^0,-5.005333543×10^-1,3.046887675×10^0
6.037171042×10^0,-6.456599677×10^-2,3.049334072×10^0,-5.695328379×10^-1,3.102736648×10^0
6.047121042×10^0,-7.220916644×10^-2,3.083623314×10^0,-5.874546269×10^-1,3.139912395×10^0
6.057070042×10^0,-1.361651342×10^-1,3.099391501×10^0,-5.561252455×10^-1,3.151831834×10^0
6.067019042×10^0,-8.940425623×10^-2,3.123001388×10^0,-5.698814050×10^-1,3.175829909×10^0
6.076969042×10^0,1.066046085×10^-2,3.143265499×10^0,-5.895525348×10^-1,3.198093781×10^0
6.086918042×10^0,6.979053877×10^-2,3.158241388×10^0,-6.083384693×10^-1,3.217053788×10^0
6.096868042×10^0,1.214830863×10^-1,3.147559694×10^0,-6.144710290×10^-1,3.209277927×10^0
6.106817042×10^0,1.197450380×10^-1,3.120375404×10^0,-5.855168597×10^-1,3.177091678×10^0
6.116767042×10^0,1.044866374×10^-1,3.055461954×10^0,-5.428228299×10^-1,3.105063902×10^0
6.126716042×10^0,3.821858922×10^-2,3.006870423×10^0,-4.865012062×10^-1,3.046213030×10^0
6.136666042×10^0,-2.706634099×10^-2,2.940493416×10^0,-4.175180217×10^-1,2.970110337×10^0
6.146615042×10^0,-1.906734997×10^-2,2.870584105×10^0,-3.425730892×10^-1,2.891015910×10^0
6.156565042×10^0,-1.724316487×10^-2,2.788779804×10^0,-2.911761367×10^-1,2.803992451×10^0
6.166514042×10^0,-1.867324764×10^-2,2.665459102×10^0,-2.662131306×10^-1,2.678785237×10^0
6.176463042×10^0,-8.368505806×10^-2,2.556617276×10^0,-2.224409473×10^-1,2.567639979×10^0
6.186413042×10^0,-1.015034245×10^-1,2.445765177×10^0,-2.127054063×10^-1,2.457094592×10^0
6.196362042×10^0,-1.501534830×10^-1,2.305823765×10^0,-1.498396520×10^-1,2.315560672×10^0
6.206312042×10^0,-1.994217932×10^-1,2.185744759×10^0,-1.027390873×10^-1,2.197226553×10^0
6.216261042×10^0,-2.115940699×10^-1,2.059190547×10^0,-7.151959699×10^-2,2.071268407×10^0
6.226211042×10^0,-1.934457560×10^-1,1.907742984×10^0,-7.324686449×10^-2,1.918924089×10^0
6.236160042×10^0,-1.193375053×10^-1,1.770441590×10^0,-1.259641548×10^-1,1.778924347×10^0
6.246110042×10^0,-9.206844868×10^-2,1.636358503×10^0,-1.653534114×10^-1,1.647266676×10^0
6.256059042×10^0,-8.845282288×10^-2,1.470756585×10^0,-1.705165759×10^-1,1.483248036×10^0
6.266009042×10^0,-7.587869626×10^-2,1.290265902×10^0,-1.500419656×10^-1,1.301174956×10^0
6.275958042×10^0,-1.212281111×10^-1,1.106699583×10^0,-1.724905229×10^-1,1.126602504×10^0
6.285907542×10^0,-1.525429842×10^-1,9.192384338×10^-1,-1.719408115×10^-1,9.475401326×10^-1
6.295857542×10^0,-1.344557372×10^-1,7.398563826×10^-1,-1.600172424×10^-1,7.688116349×10^-1
6.305806542×10^0,-1.248868967×10^-1,5.558129311×10^-1,-2.060254010×10^-1,6.057814929×10^-1
6.315756542×10^0,-5.956383169×10^-2,3.875774270×10^-1,-2.441948553×10^-1,4.619472257×10^-1
6.325705542×10^0,-1.450427424×10^-2,2.206364965×10^-1,-2.482482914×10^-1,3.324425541×10^-1
6.335655542×10^0,-1.769166458×10^-2,3.475818872×10^-2,-2.578984630×10^-1,2.608308722×10^-1
6.345604542×10^0,4.476580795×10^-2,-1.693113917×10^-1,-2.414373084×10^-1,2.982654838×10^-1
6.355554542×10^0,6.185400333×10^-2,-3.720893222×10^-1,-2.115030726×10^-1,4.324464489×10^-1
6.365503542×10^0,3.097111160×10^-2,-5.502072054×10^-1,-1.383146437×10^-1,5.681708540×10^-1
6.375453542×10^0,3.359154129×10^-2,-7.229631919×10^-1,-1.036664557×10^-1,7.311298807×10^-1
6.385402542×10^0,3.842799263×10^-2,-9.132666725×10^-1,-8.818653703×10^-2,9.183188940×10^-1
6.395351542×10^0,7.689424798×10^-2,-1.087142985×10^0,-9.805897593×10^-2,1.094261467×10^0
6.405301542×10^0,1.137309391×10^-1,-1.253853536×10^0,-5.138533115×10^-2,1.260049153×10^0
6.415250542×10^0,1.094339300×10^-1,-1.449145861×10^0,-4.839009494×10^-3,1.453280058×10^0
6.425200542×10^0,1.357838409×10^-1,-1.616290859×10^0,2.865252614×10^-2,1.622237455×10^0
6.435149542×10^0,1.414119869×10^-1,-1.765600095×10^0,8.501617670×10^-2,1.773293207×10^0
6.445099542×10^0,1.272867219×10^-1,-1.908289114×10^0,1.540554944×10^-1,1.918724146×10^0
6.455048542×10^0,9.927567188×10^-2,-2.048372614×10^0,2.052419472×10^-1,2.061021659×10^0
6.464998542×10^0,9.671057146×10^-2,-2.190934748×10^0,2.368286061×10^-1,2.205818622×10^0
6.474947542×10^0,1.339788968×10^-1,-2.338193366×10^0,2.655033517×10^-1,2.357030036×10^0
6.484897542×10^0,1.473480620×10^-1,-2.453915026×10^0,2.758482456×10^-1,2.473762855×10^0
6.494846542×10^0,1.341169459×10^-1,-2.558453887×10^0,2.864994606×10^-1,2.577936304×10^0
6.504795542×10^0,1.501712987×10^-1,-2.647904592×10^0,3.435508168×10^-1,2.674318102×10^0
6.514745542×10^0,1.408183484×10^-1,-2.731851313×10^0,3.349623533×10^-1,2.755910227×10^0
6.524694542×10^0,1.124667163×10^-1,-2.828119871×10^0,3.680086235×10^-1,2.854179587×10^0
6.534644542×10^0,7.436591193×10^-2,-2.916944339×10^0,3.768987302×10^-1,2.942133107×10^0
6.544593542×10^0,3.970517071×10^-2,-2.979623567×10^0,4.259532881×10^-1,3.010177621×10^0
6.554543542×10^0,2.733639099×10^-2,-3.019023276×10^0,4.239605570×10^-1,3.048768829×10^0
6.564492542×10^0,3.480622726×10^-2,-3.049672626×10^0,3.864073992×10^-1,3.074251987×10^0
6.574442542×10^0,5.712101117×10^-2,-3.042557734×10^0,3.932335849×10^-1,3.068395840×10^0
6.584391542×10^0,7.425680654×10^-2,-3.069833826×10^0,3.789089298×10^-1,3.094020971×10^0
6.594341542×10^0,7.393954027×10^-2,-3.067300227×10^0,3.769442654×10^-1,3.091259407×10^0
6.604290542×10^0,7.984977795×10^-2,-3.063549823×10^0,3.523614013×10^-1,3.084780716×10^0
6.614239542×10^0,6.164748698×10^-2,-3.042117439×10^0,3.400179291×10^-1,3.061681093×10^0
6.624189542×10^0,6.114046030×10^-2,-3.001995015×10^0,3.307043378×10^-1,3.020774335×10^0
6.634138542×10^0,4.098402986×10^-2,-2.950235462×10^0,3.289842331×10^-1,2.968804405×10^0
6.644088542×10^0,4.463938018×10^-2,-2.896270924×10^0,3.100847165×10^-1,2.913165026×10^0
6.654037542×10^0,6.377823064×10^-2,-2.834899718×10^0,2.946225587×10^-1,2.850881710×10^0
6.663987542×10^0,5.448874086×10^-2,-2.768398749×10^0,2.732452114×10^-1,2.782384517×10^0
6.673936542×10^0,4.165505268×10^-2,-2.660298935×10^0,2.353646095×10^-1,2.671015175×10^0
6.683886542×10^0,6.231949652×10^-2,-2.562587868×10^0,2.158114473×10^-1,2.572414213×10^0
6.693835542×10^0,7.535882397×10^-2,-2.439177704×10^0,1.956560218×10^-1,2.448172400×10^0
6.703785542×10^0,8.583111411×10^-2,-2.337240855×10^0,1.842982440×10^-1,2.346066417×10^0
6.713734542×10^0,5.090397740×10^-2,-2.236689211×10^0,1.993454687×10^-1,2.246131887×10^0
6.723683542×10^0,5.275323244×10^-2,-2.107994333×10^0,2.202296034×10^-1,2.120123602×10^0
6.733633542×10^0,5.523453495×10^-2,-1.961773596×10^0,2.288107578×10^-1,1.975844341×10^0
6.743582542×10^0,4.687886378×10^-2,-1.813147314×10^0,1.965060608×10^-1,1.824367135×10^0
6.753532542×10^0,5.260385435×10^-2,-1.649069180×10^0,2.023965459×10^-1,1.662275756×10^0
6.763481542×10^0,8.699988116×10^-2,-1.485107406×10^0,1.844387233×10^-1,1.499043238×10^0
6.773431542×10^0,9.888220908×10^-2,-1.338608342×10^0,1.775588894×10^-1,1.353948723×10^0
6.783380542×10^0,1.145944267×10^-1,-1.169714441×10^0,2.075036502×10^-1,1.193491316×10^0
6.793330542×10^0,1.041617880×10^-1,-9.936851835×10^-1,2.167575268×10^-1,1.022371629×10^0
6.803279542×10^0,8.420507653×10^-2,-8.115526021×10^-1,2.324608091×10^-1,8.483785409×10^-1
6.813229542×10^0,7.440253012×10^-2,-6.178811252×10^-1,2.603100009×10^-1,6.745918158×10^-1
6.823178542×10^0,7.570349906×10^-2,-4.270239133×10^-1,2.657654531×10^-1,5.086371185×10^-1
6.833127542×10^0,7.912311522×10^-2,-2.569389349×10^-1,2.624663810×10^-1,3.757215522×10^-1
6.843077542×10^0,8.846798910×10^-2,-8.138271689×10^-2,2.577932131×10^-1,2.844416855×10^-1
6.853026542×10^0,1.139982665×10^-1,1.243334395×10^-1,2.459163487×10^-1,2.982100929×10^-1
6.862976542×10^0,7.052708695×10^-2,3.027559626×10^-1,2.469372725×10^-1,3.970053645×10^-1
6.872925542×10^0,3.960258862×10^-2,5.065670961×10^-1,2.296120457×10^-1,5.575843249×10^-1
6.882875542×10^0,4.303916171×10^-4,6.811193472×10^-1,2.300366266×10^-1,7.189162677×10^-1
6.892824542×10^0,-9.965117276×10^-4,8.481380457×10^-1,2.223076308×10^-1,8.767894960×10^-1
6.902774542×10^0,-2.836685311×10^-2,1.022723041×10^0,1.901398317×10^-1,1.040634543×10^0
6.912723542×10^0,-5.587056583×10^-2,1.204246927×10^0,1.719293363×10^-1,1.217740481×10^0
6.922672542×10^0,-7.169799188×10^-2,1.391062544×10^0,1.344755812×10^-1,1.399385324×10^0
6.932622542×10^0,-4.536518410×10^-2,1.566063861×10^0,7.567013338×10^-2,1.568547094×10^0
6.942571542×10^0,-7.046757326×10^-2,1.732966785×10^0,4.064399600×10^-2,1.734875065×10^0
6.952521542×10^0,-8.646878952×10^-2,1.879029647×10^0,-1.115999579×10^-2,1.881051252×10^0
6.962470542×10^0,-1.169321801×10^-1,2.023083991×10^0,-4.527396753×10^-2,2.026966132×10^0
6.972420542×10^0,-1.329085457×10^-1,2.159267398×10^0,-8.222003818×10^-2,2.164915821×10^0
6.982369542×10^0,-1.522507148×10^-1,2.294444498×10^0,-1.159527715×10^-1,2.302411970×10^0
6.992319542×10^0,-1.464149926×10^-1,2.443258476×10^0,-1.567719647×10^-1,2.452657085×10^0
7.002268542×10^0,-1.225032610×10^-1,2.571580886×10^0,-1.983761466×10^-1,2.582128656×10^0
7.012218542×10^0,-9.714085344×10^-2,2.674614673×10^0,-2.384180255×10^-1,2.686976581×10^0
7.022167542×10^0,-9.730879644×10^-2,2.751454688×10^0,-2.533389504×10^-1,2.764806055×10^0
7.032116542×10^0,-1.124337709×10^-1,2.840870894×10^0,-2.791729724×10^-1,2.856768513×10^0
7.042066542×10^0,-9.369536335×10^-2,2.920871329×10^0,-2.640180127×10^-1,2.934275661×10^0
7.052015542×10^0,-7.277148586×10^-2,2.980405340×10^0,-2.490831276×10^-1,2.991680813×10^0
7.061965542×10^0,-5.712673048×10^-2,3.054241056×10^0,-2.322805687×10^-1,3.063593666×10^0
7.071914542×10^0,-6.245221004×10^-2,3.090161671×10^0,-2.152979156×10^-1,3.098282205×10^0
7.081864542×10^0,-3.922345150×10^-2,3.100773198×10^0,-2.113345997×10^-1,3.108214152×10^0
7.091813542×10^0,-3.173548887×10^-2,3.132339976×10^0,-1.829219556×10^-1,3.137837043×10^0
7.101763542×10^0,-2.764678678×10^-2,3.146134143×10^0,-1.719746523×10^-1,3.150952185×10^0
7.111712542×10^0,-3.342113150×10^-2,3.145021418×10^0,-1.381091141×10^-1,3.148229791×10^0
7.121661542×10^0,-4.354229635×10^-2,3.135749488×10^0,-1.167233614×10^-1,3.138223243×10^0
7.131611542×10^0,-5.962323574×10^-2,3.092887058×10^0,-9.393778525×10^-2,3.094887654×10^0
7.141560542×10^0,-8.992496906×10^-2,3.052086942×10^0,-5.278047681×10^-2,3.053867544×10^0
7.151510542×10^0,-8.252880771×10^-2,2.998674381×10^0,-6.707794234×10^-2,3.000559697×10^0
7.161459542×10^0,-7.819035642×10^-2,2.945382857×10^0,-7.118400335×10^-2,2.947280284×10^0
7.171409542×10^0,-8.811538372×10^-2,2.884710978×10^0,-9.292855583×10^-2,2.887552158×10^0
7.181358542×10^0,-1.200803758×10^-1,2.814845522×10^0,-9.032778740×10^-2,2.818853263×10^0
7.191308542×10^0,-1.303737229×10^-1,2.718560591×10^0,-1.027765826×10^-1,2.723624795×10^0
7.201257542×10^0,-1.363003145×10^-1,2.596732099×10^0,-1.245457665×10^-1,2.603287732×10^0
7.211207542×10^0,-1.492317608×10^-1,2.496661096×10^0,-1.274892548×10^-1,2.504364242×10^0
7.221156542×10^0,-1.791492955×10^-1,2.387022879×10^0,-1.577263033×10^-1,2.398926902×10^0
7.231105542×10^0,-1.667877883×10^-1,2.274078646×10^0,-1.914144516×10^-1,2.288207016×10^0
7.241055542×10^0,-1.694048193×10^-1,2.139400898×10^0,-2.226326629×10^-1,2.157614307×10^0
7.251004542×10^0,-1.580714170×10^-1,2.002117630×10^0,-2.679860795×10^-1,2.026148591×10^0
7.260954542×10^0,-1.620152360×10^-1,1.823900344×10^0,-2.735760907×10^-1,1.851406297×10^0
7.270903542×10^0,-1.523139195×10^-1,1.661313835×10^0,-2.819492304×10^-1,1.691939289×10^0
7.280853542×10^0,-1.562490957×10^-1,1.512406887×10^0,-2.966667453×10^-1,1.549128635×10^0
7.290801917×10^0,-1.406443206×10^-1,1.355468203×10^0,-2.862340701×10^-1,1.392481532×10^0
7.300751917×10^0,-1.314356869×10^-1,1.192454848×10^0,-2.980664226×10^-1,1.236150272×10^0
7.310700917×10^0,-1.265034508×10^-1,1.003158258×10^0,-2.921338376×10^-1,1.052459877×10^0
7.320649917×10^0,-1.047968139×10^-1,8.083962750×10^-1,-2.798910105×10^-1,8.618734753×10^-1
7.330599917×10^0,-8.651657224×10^-2,6.180594653×10^-1,-2.565932914×10^-1,6.747760644×10^-1
7.340548917×10^0,-8.212351344×10^-2,4.461045474×10^-1,-2.266578861×10^-1,5.070772486×10^-1
7.350498917×10^0,-7.081223921×10^-2,2.730696487×10^-1,-2.033323196×10^-1,3.477433515×10^-1
7.360447917×10^0,-5.406643485×10^-2,8.146340847×10^-2,-1.802135984×10^-1,2.050278209×10^-1
7.370397917×10^0,-4.823551831×10^-2,-1.113198763×10^-1,-1.450576528×10^-1,1.891044757×10^-1
7.380346917×10^0,-4.018752946×10^-2,-3.121641326×10^-1,-1.070017076×10^-1,3.324317202×10^-1
7.390296917×10^0,-5.173657523×10^-2,-5.113109422×10^-1,-6.065309487×10^-2,5.174885030×10^-1
7.400245917×10^0,-3.104555396×10^-2,-7.005198240×10^-1,-4.843848065×10^-2,7.028784651×10^-1
7.410195917×10^0,-1.659185814×10^-2,-8.721432048×10^-1,-2.244285621×10^-2,8.725896752×10^-1
7.420144917×10^0,-2.044959521×10^-2,-1.033654996×10^0,-1.715573072×10^-3,1.033858684×10^0
7.430093917×10^0,-2.590104572×10^-2,-1.228627478×10^0,3.043007970×10^-2,1.229277159×10^0
7.440043917×10^0,-3.184897967×10^-2,-1.414542623×10^0,3.794258237×10^-2,1.415409775×10^0
7.449992917×10^0,-3.248689262×10^-2,-1.576424543×10^0,4.120415926×10^-2,1.577297537×10^0
7.459942917×10^0,-3.631615193×10^-2,-1.744800965×10^0,6.649106462×10^-2,1.746445055×10^0
7.469891917×10^0,-3.686016225×10^-2,-1.881066817×10^0,8.379060030×10^-2,1.883292836×10^0
7.479841917×10^0,-3.461505071×10^-2,-2.015308948×10^0,7.891990621×10^-2,2.017150641×10^0
7.489790917×10^0,-3.117686050×10^-2,-2.146936789×10^0,8.219664931×10^-2,2.148735875×10^0
7.499740917×10^0,-3.850837357×10^-2,-2.305597478×10^0,7.885328449×10^-2,2.307266882×10^0
7.509689917×10^0,-3.433424732×10^-2,-2.435159497×10^0,5.944052853×10^-2,2.436126802×10^0
7.519638917×10^0,-3.642797993×10^-2,-2.542674590×10^0,5.501879096×10^-2,2.543530644×10^0
7.529588917×10^0,-3.453857096×10^-2,-2.624100577×10^0,4.713444192×10^-2,2.624751113×10^0
7.539537917×10^0,-3.726673560×10^-2,-2.704893309×10^0,4.034823652×10^-2,2.705450906×10^0
7.549487917×10^0,-3.790737117×10^-2,-2.801532581×10^0,5.414287806×10^-2,2.802312121×10^0
7.559436917×10^0,-3.081840791×10^-2,-2.874799948×10^0,5.294185996×10^-2,2.875452548×10^0
7.569386917×10^0,-1.845439732×10^-2,-2.938016535×10^0,1.934726715×10^-2,2.938138193×10^0
7.579335917×10^0,-1.568363937×10^-2,-2.997028974×10^0,1.174939513×10^-2,2.997093041×10^0
