"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.517161333×10^0,1.782791933×10^-1,-2.442695974×10^0,5.406746359×10^-1,2.508161907×10^0
2.527111333×10^0,2.534609745×10^-1,-2.468933600×10^0,6.219135113×10^-1,2.558642609×10^0
2.537060333×10^0,3.089464098×10^-1,-2.481558323×10^0,6.695061922×10^-1,2.588787001×10^0
2.547010333×10^0,3.743703210×10^-1,-2.463254784×10^0,6.869962375×10^-1,2.584519510×10^0
2.556959333×10^0,4.062980919×10^-1,-2.412002769×10^0,7.179456961×10^-1,2.549172713×10^0
2.566909333×10^0,3.947576982×10^-1,-2.359527517×10^0,7.712126613×10^-1,2.513557780×10^0
2.576858333×10^0,3.489002151×10^-1,-2.304174850×10^0,8.329614513×10^-1,2.474828858×10^0
2.586808333×10^0,2.760993835×10^-1,-2.243338664×10^0,8.695884101×10^-1,2.421772746×10^0
2.596757333×10^0,1.982348998×10^-1,-2.184708048×10^0,8.424972367×10^-1,2.349903812×10^0
2.606707333×10^0,1.518662969×10^-1,-2.092986284×10^0,7.608725913×10^-1,2.232169810×10^0
2.616656333×10^0,7.180545274×10^-2,-1.963261127×10^0,6.244954956×10^-1,2.061442432×10^0
2.626606333×10^0,2.067897052×10^-2,-1.813273614×10^0,4.450654972×10^-1,1.867209714×10^0
2.636555333×10^0,1.686355267×10^-2,-1.650873631×10^0,2.321097569×10^-1,1.667196169×10^0
2.646505333×10^0,-3.445216008×10^-3,-1.487249826×10^0,3.433967426×10^-2,1.487650204×10^0
2.656454333×10^0,-6.537114009×10^-2,-1.346992080×10^0,-1.227109833×10^-1,1.354148823×10^0
2.666404333×10^0,-1.444486288×10^-1,-1.194824139×10^0,-2.241429256×10^-1,1.224218192×10^0
2.676354083×10^0,-2.010253007×10^-1,-1.009379110×10^0,-2.567665882×10^-1,1.060748057×10^0
2.686303083×10^0,-2.597407379×10^-1,-8.234341443×10^-1,-2.855442448×10^-1,9.094199012×10^-1
2.696253083×10^0,-2.918065397×10^-1,-6.325020880×10^-1,-3.021465366×10^-1,7.592776023×10^-1
2.706202083×10^0,-3.004431695×10^-1,-4.746325278×10^-1,-2.765474264×10^-1,6.261154955×10^-1
2.716152083×10^0,-2.335042082×10^-1,-3.028799236×10^-1,-2.453900993×10^-1,4.543971437×10^-1
2.726101083×10^0,-1.426409255×10^-1,-1.018123037×10^-1,-2.244699311×10^-1,2.847787365×10^-1
2.736051083×10^0,-3.974107627×10^-2,9.762160420×10^-2,-1.641804600×10^-1,1.951013946×10^-1
2.746000083×10^0,4.651693940×10^-2,2.997592646×10^-1,-5.660543293×10^-2,3.085832422×10^-1
2.755950083×10^0,8.438438505×10^-2,4.798687094×10^-1,9.826816007×10^-2,4.970425877×10^-1
2.765899083×10^0,8.516772922×10^-2,6.484778506×10^-1,2.833760972×10^-1,7.127966591×10^-1
2.775849083×10^0,1.043102159×10^-1,7.954429382×10^-1,4.207469273×10^-1,9.058907583×10^-1
2.785798083×10^0,1.036154936×10^-1,9.538405019×10^-1,5.652691944×10^-1,1.113587507×10^0
2.795748083×10^0,1.028747245×10^-1,1.128708503×10^0,6.296186797×10^-1,1.296528355×10^0
2.805697083×10^0,1.341667020×10^-1,1.322614453×10^0,5.678019159×10^-1,1.445582481×10^0
2.815647083×10^0,1.548470064×10^-1,1.494719644×10^0,4.015842859×10^-1,1.555453101×10^0
2.825596083×10^0,1.616160539×10^-1,1.659999381×10^0,1.979609942×10^-1,1.679555372×10^0
2.835546083×10^0,1.010977374×10^-1,1.800378165×10^0,-9.569406956×10^-3,1.803239824×10^0
2.845495083×10^0,1.262103226×10^-2,1.924967127×10^0,-2.281349659×10^-1,1.938479635×10^0
2.855445083×10^0,-8.581307910×10^-2,2.044577186×10^0,-4.045910704×10^-1,2.085989858×10^0
2.865394083×10^0,-1.975479615×10^-1,2.164825176×10^0,-5.626424789×10^-1,2.245453139×10^0
2.875344083×10^0,-3.294095450×10^-1,2.274442928×10^0,-6.901493485×10^-1,2.399564003×10^0
2.885293083×10^0,-3.967033592×10^-1,2.359059155×10^0,-8.294963913×10^-1,2.531915859×10^0
2.895243083×10^0,-3.995957210×10^-1,2.419374939×10^0,-9.665257439×10^-1,2.635758685×10^0
2.905193083×10^0,-3.696449303×10^-1,2.474268599×10^0,-1.055666693×10^0,2.715340612×10^0
2.915142083×10^0,-3.339424893×10^-1,2.510478652×10^0,-1.047760234×10^0,2.740770358×10^0
2.925092083×10^0,-3.085649886×10^-1,2.544690126×10^0,-9.325841188×10^-1,2.727704773×10^0
2.935041083×10^0,-2.737481450×10^-1,2.538360515×10^0,-7.329638310×10^-1,2.656209353×10^0
2.944991083×10^0,-2.541157530×10^-1,2.518073015×10^0,-4.762263326×10^-1,2.575278246×10^0
2.954940083×10^0,-2.485693766×10^-1,2.458895100×10^0,-1.789552045×10^-1,2.477897660×10^0
2.964890083×10^0,-2.300033706×10^-1,2.389783934×10^0,8.032217816×10^-2,2.402169947×10^0
2.974839083×10^0,-1.570629733×10^-1,2.343904341×10^0,2.308319941×10^-1,2.360474475×10^0
2.984789083×10^0,-5.555867169×10^-2,2.296412671×10^0,3.175564349×10^-1,2.318930791×10^0
2.994738083×10^0,5.132048188×10^-2,2.250994424×10^0,3.310427454×10^-1,2.275785356×10^0
3.004688083×10^0,1.065460815×10^-1,2.177512465×10^0,3.294942565×10^-1,2.204876202×10^0
3.014637083×10^0,1.378514163×10^-1,2.076727517×10^0,2.782668002×10^-1,2.099817279×10^0
3.024587083×10^0,1.176779011×10^-1,1.942872471×10^0,2.002895017×10^-1,1.956710866×10^0
3.034536083×10^0,4.435632013×10^-2,1.827795174×10^0,8.474355027×10^-2,1.830296192×10^0
3.044486083×10^0,-2.442142608×10^-2,1.705874296×10^0,-6.688629985×10^-2,1.707359744×10^0
3.054435083×10^0,-8.551055878×10^-2,1.593359249×10^0,-2.238945651×10^-1,1.611283503×10^0
3.064385083×10^0,-1.091769449×10^-1,1.460134533×10^0,-4.154565127×10^-1,1.522010701×10^0
3.074334083×10^0,-9.536315370×10^-2,1.308221532×10^0,-6.058266516×10^-1,1.444840350×10^0
3.084284083×10^0,-8.528207883×10^-2,1.124075754×10^0,-7.290535055×10^-1,1.342511954×10^0
3.094233083×10^0,-8.255749561×10^-2,9.513747311×10^-1,-8.271319234×10^-1,1.263359346×10^0
3.104183083×10^0,-1.022483963×10^-1,7.860429543×10^-1,-8.067214863×10^-1,1.130980909×10^0
3.114132083×10^0,-1.373856308×10^-1,5.951676160×10^-1,-7.235752492×10^-1,9.469215616×10^-1
3.124082083×10^0,-1.880236147×10^-1,3.857805777×10^-1,-5.756463942×10^-1,7.180169252×10^-1
3.134031083×10^0,-2.237654878×10^-1,1.564229590×10^-1,-3.624688983×10^-1,4.537872165×10^-1
3.143981083×10^0,-2.181410876×10^-1,-6.944504142×10^-2,-1.531258602×10^-1,2.754190933×10^-1
3.153931083×10^0,-1.532415255×10^-1,-2.622283262×10^-1,4.712388039×10^-2,3.073553648×10^-1
3.163880083×10^0,-8.267027378×10^-2,-4.549367666×10^-1,2.123568392×10^-1,5.088194797×10^-1
3.173830083×10^0,-1.483760208×10^-2,-6.327850932×10^-1,3.304682565×10^-1,7.140352912×10^-1
3.183779083×10^0,5.601113655×10^-2,-8.126483703×10^-1,4.627920623×10^-1,9.368623773×10^-1
3.193729083×10^0,8.878657099×10^-2,-1.012852941×10^0,5.776091583×10^-1,1.169353016×10^0
3.203678083×10^0,1.067098584×10^-1,-1.202143684×10^0,6.569359942×10^-1,1.374081996×10^0
3.213628083×10^0,9.693108458×10^-2,-1.368015159×10^0,7.314986649×10^-1,1.554333107×10^0
3.223577083×10^0,7.807673771×10^-2,-1.515510004×10^0,7.745734946×10^-1,1.703769541×10^0
3.233527083×10^0,7.273077462×10^-2,-1.640514119×10^0,7.684435661×10^-1,1.813031124×10^0
3.243476083×10^0,7.428913068×10^-2,-1.768994404×10^0,6.925515309×10^-1,1.901180607×10^0
3.253426083×10^0,1.062201906×10^-1,-1.898288037×10^0,5.636398678×10^-1,1.983045662×10^0
3.263375083×10^0,1.280910430×10^-1,-2.001141729×10^0,4.164211571×10^-1,2.048019071×10^0
3.273325083×10^0,1.534394172×10^-1,-2.081943233×10^0,2.598866625×10^-1,2.103704437×10^0
3.283274083×10^0,1.732397705×10^-1,-2.162196268×10^0,1.305311957×10^-1,2.173049266×10^0
3.293224083×10^0,1.812200138×10^-1,-2.212931973×10^0,6.961694956×10^-3,2.220350665×10^0
3.303173083×10^0,1.595446047×10^-1,-2.259690403×10^0,-6.402701139×10^-2,2.266220346×10^0
3.313123083×10^0,1.105269939×10^-1,-2.325650504×10^0,-8.506880164×10^-2,2.329829003×10^0
3.323072083×10^0,6.988636002×10^-2,-2.373550310×10^0,-7.866010711×10^-2,2.375881434×10^0
3.333022083×10^0,5.087837756×10^-2,-2.410476646×10^0,-9.911045149×10^-2,2.413049761×10^0
3.342971083×10^0,5.975065023×10^-2,-2.415671312×10^0,-7.648859739×10^-2,2.417620428×10^0
3.352921083×10^0,8.025234047×10^-2,-2.400809444×10^0,-4.659046814×10^-2,2.402602151×10^0
3.362871083×10^0,1.090555421×10^-1,-2.389997358×10^0,-1.286825985×10^-2,2.392518772×10^0
3.372820083×10^0,1.489441143×10^-1,-2.366800869×10^0,4.317247823×10^-2,2.371875748×10^0
3.382770083×10^0,1.964264656×10^-1,-2.341562532×10^0,1.518157916×10^-1,2.354686068×10^0
3.392719083×10^0,2.137454433×10^-1,-2.306494440×10^0,2.697918458×10^-1,2.332035883×10^0
3.402669083×10^0,1.926062238×10^-1,-2.236904973×10^0,4.020289667×10^-1,2.280891998×10^0
3.412618083×10^0,1.512565054×10^-1,-2.159324700×10^0,5.213213754×10^-1,2.226507954×10^0
3.422568083×10^0,1.158833358×10^-1,-2.070748739×10^0,6.490865457×10^-1,2.173187205×10^0
3.432517083×10^0,9.249940675×10^-2,-1.967658818×10^0,7.311323369×10^-1,2.101140609×10^0
3.442467083×10^0,8.034673646×10^-2,-1.866268099×10^0,7.883850566×10^-1,2.027551038×10^0
3.452416083×10^0,1.047029113×10^-1,-1.739708040×10^0,7.915902078×10^-1,1.914200047×10^0
3.462366083×10^0,1.236451126×10^-1,-1.566311783×10^0,7.296107452×10^-1,1.732325765×10^0
3.472315083×10^0,1.294963116×10^-1,-1.389950988×10^0,6.078263994×10^-1,1.522559022×10^0
3.482265083×10^0,1.223311701×10^-1,-1.200580139×10^0,4.566921008×10^-1,1.290319828×10^0
3.492214083×10^0,9.316883985×10^-2,-1.025914451×10^0,3.120835872×10^-1,1.076372175×10^0
3.502164083×10^0,5.620062288×10^-2,-8.620222592×10^-1,1.625563958×10^-1,8.790139176×10^-1
3.512113083×10^0,1.744293865×10^-2,-6.842218798×10^-1,-2.236121446×10^-3,6.844478338×10^-1
3.522063083×10^0,-1.553824469×10^-2,-4.783408320×10^-1,-1.596968150×10^-1,5.045339050×10^-1
3.532012083×10^0,-3.462914798×10^-2,-2.616400963×10^-1,-3.063192558×10^-1,4.043342731×10^-1
3.541962083×10^0,-3.346624643×10^-2,-4.659938514×10^-2,-4.844722223×10^-1,4.878573834×10^-1
3.551911083×10^0,3.582113944×10^-3,1.768274027×10^-1,-6.387461834×10^-1,6.627800907×10^-1
3.561861083×10^0,6.757356696×10^-2,3.506259477×10^-1,-7.280717580×10^-1,8.109212212×10^-1
3.571810083×10^0,1.126088219×10^-1,5.342355359×10^-1,-7.668975623×10^-1,9.413927053×10^-1
3.581760083×10^0,1.385693996×10^-1,7.229912585×10^-1,-7.481790170×10^-1,1.049614062×10^0
3.591709083×10^0,1.362285765×10^-1,8.990292871×10^-1,-6.191126950×10^-1,1.100051096×10^0
3.601659083×10^0,1.195813708×10^-1,1.063029068×10^0,-4.599511926×10^-1,1.164425010×10^0
3.611609083×10^0,1.104628938×10^-1,1.207755842×10^0,-2.787509497×10^-1,1.244418867×10^0
3.621558083×10^0,7.695261050×10^-2,1.344900531×10^0,-9.456453368×10^-2,1.350415341×10^0
3.631508083×10^0,5.996813010×10^-2,1.480686327×10^0,6.553471595×10^-2,1.483348568×10^0
3.641457083×10^0,7.724654272×10^-2,1.615080485×10^0,1.846807981×10^-1,1.627439400×10^0
3.651407083×10^0,8.641154163×10^-2,1.746815330×10^0,2.500269413×10^-1,1.766732641×10^0
3.661356083×10^0,7.784770958×10^-2,1.887401106×10^0,2.857826650×10^-1,1.910501225×10^0
3.671306083×10^0,2.906983461×10^-2,2.002581899×10^0,2.657664764×10^-1,2.020349261×10^0
3.681255250×10^0,-2.631510168×10^-2,2.092033188×10^0,1.965635097×10^-1,2.101412039×10^0
3.691205250×10^0,-1.122970922×10^-1,2.170107551×10^0,8.185648754×10^-2,2.174552345×10^0
3.701154250×10^0,-2.045672516×10^-1,2.253258466×10^0,-7.087731689×10^-2,2.263635365×10^0
3.711104250×10^0,-2.561590625×10^-1,2.333700950×10^0,-2.831793384×10^-1,2.364734262×10^0
3.721053250×10^0,-2.736898556×10^-1,2.414612381×10^0,-5.121938717×10^-1,2.483465653×10^0
3.731003250×10^0,-2.490036786×10^-1,2.486279950×10^0,-7.334491499×10^-1,2.604138720×10^0
3.740952250×10^0,-2.095217436×10^-1,2.522719797×10^0,-9.258690302×10^-1,2.695412399×10^0
3.750902250×10^0,-1.548340512×10^-1,2.535103031×10^0,-1.063107859×10^0,2.753346923×10^0
3.760851250×10^0,-1.766695279×10^-1,2.537237849×10^0,-1.115055693×10^0,2.777073500×10^0
3.770801250×10^0,-1.951261033×10^0,2.281532677×10^0,-8.909155445×10^-1,3.131539794×10^0
3.780750250×10^0,-2.456682075×10^-1,2.460940456×10^0,-9.036822090×10^-1,2.633101276×10^0
3.790700250×10^0,-2.653367060×10^-1,2.403870462×10^0,-6.552939498×10^-1,2.505674944×10^0
3.800649250×10^0,-3.782323704×10^-1,2.286546664×10^0,-3.962786686×10^-1,2.351253316×10^0
3.810599250×10^0,-3.162633231×10^-1,2.171957025×10^0,-1.646950150×10^-1,2.201032543×10^0
3.820548250×10^0,-2.574959553×10^-1,2.069691562×10^0,3.130584642×10^-2,2.085882879×10^0
3.830498250×10^0,-1.738933795×10^-1,1.985126206×10^0,1.728061263×10^-1,2.000206719×10^0
3.840448250×10^0,-8.980709285×10^-2,1.908259293×10^0,2.696911275×10^-1,1.929313906×10^0
3.850397250×10^0,-9.915956810×10^-2,1.778787906×10^0,3.710024710×10^-1,1.819769729×10^0
3.860347250×10^0,-1.384360831×10^-1,1.616162805×10^0,4.603536272×10^-1,1.686141223×10^0
3.870296250×10^0,-1.357191743×10^-1,1.468859164×10^0,4.266549540×10^-1,1.535578518×10^0
3.880246250×10^0,-1.160044097×10^-1,1.316645030×10^0,3.402195118×10^-1,1.364829834×10^0
3.890195250×10^0,-4.380321007×10^-2,1.206771755×10^0,1.853624372×10^-1,1.221710286×10^0
3.900145250×10^0,2.975235086×10^-2,1.089546191×10^0,-2.664444610×10^-2,1.090277961×10^0
3.910094250×10^0,8.243773732×10^-2,9.536551452×10^-1,-2.455970907×10^-1,9.882165994×10^-1
3.920044250×10^0,2.010753309×10^-1,8.085559040×10^-1,-4.697759767×10^-1,9.564953774×10^-1
3.929993250×10^0,2.537189098×10^-1,6.201422435×10^-1,-6.264392562×10^-1,9.172654082×10^-1
3.939943250×10^0,2.228038036×10^-1,4.395053798×10^-1,-6.780853732×10^-1,8.382161339×10^-1
3.949892250×10^0,1.738448476×10^-1,2.549011803×10^-1,-6.558867113×10^-1,7.248337884×10^-1
3.959842250×10^0,1.127717034×10^-1,9.157090545×10^-2,-5.999838214×10^-1,6.173194260×10^-1
3.969791250×10^0,7.396329459×10^-2,-1.195989490×10^-1,-5.064296865×10^-1,5.255906249×10^-1
3.979741250×10^0,7.361940522×10^-2,-3.289093888×10^-1,-3.926393616×10^-1,5.174619514×10^-1
3.989690250×10^0,4.245882556×10^-2,-5.557872033×10^-1,-2.455748713×10^-1,6.091052328×10^-1
3.999640250×10^0,8.929213587×10^-2,-7.628856415×10^-1,-8.698537275×10^-2,7.730032617×10^-1
4.009589250×10^0,1.561721134×10^-1,-9.559741509×10^-1,5.621761635×10^-2,9.702766237×10^-1
4.019539250×10^0,1.735903110×10^-1,-1.104853617×10^0,2.187702115×10^-1,1.139603228×10^0
4.029488250×10^0,1.489057785×10^-1,-1.281514959×10^0,4.211821063×10^-1,1.357146966×10^0
4.039438250×10^0,1.132951389×10^-1,-1.469230462×10^0,5.887865496×10^-1,1.586865949×10^0
4.049387250×10^0,3.058133986×10^-2,-1.653365715×10^0,7.400225897×10^-1,1.811680667×10^0
4.059337250×10^0,1.280211322×10^-3,-1.812723391×10^0,8.444010901×10^-1,1.999745217×10^0
4.069286250×10^0,-3.724712916×10^-2,-1.944543021×10^0,9.112043595×10^-1,2.147772868×10^0
4.079236250×10^0,-6.223100256×10^-2,-2.036834303×10^0,9.341557042×10^-1,2.241698810×10^0
4.089185250×10^0,-3.272770654×10^-2,-2.120568770×10^0,8.725754602×10^-1,2.293310041×10^0
4.099135250×10^0,2.352934197×10^-2,-2.215589533×10^0,7.550895488×10^-1,2.340844043×10^0
4.109085250×10^0,5.895367473×10^-2,-2.284184389×10^0,6.143520382×10^-1,2.366094310×10^0
4.119034250×10^0,8.774233136×10^-2,-2.344431176×10^0,4.898937607×10^-1,2.396675228×10^0
4.128984250×10^0,6.460570302×10^-2,-2.381912997×10^0,3.737085624×10^-1,2.411916564×10^0
4.138933250×10^0,3.015533365×10^-2,-2.395721197×10^0,2.983285971×10^-1,2.414412838×10^0
4.148883250×10^0,3.335880384×10^-2,-2.392891729×10^0,2.017384417×10^-1,2.401612383×10^0
4.158832250×10^0,5.098150782×10^-3,-2.391880161×10^0,1.386420147×10^-1,2.395900312×10^0
4.168782250×10^0,-2.435712498×10^-2,-2.393263028×10^0,8.744993404×10^-2,2.394984067×10^0
4.178731250×10^0,-4.744284600×10^-4,-2.382101278×10^0,2.331986547×10^-2,2.382215469×10^0
4.188681250×10^0,5.399508968×10^-2,-2.329003297×10^0,-4.020735517×10^-2,2.329976064×10^0
4.198630250×10^0,1.228184624×10^-1,-2.249912689×10^0,-9.855949759×10^-2,2.255416914×10^0
4.208580250×10^0,1.952659760×10^-1,-2.171364702×10^0,-1.245994878×10^-1,2.183684616×10^0
4.218529250×10^0,2.303313994×10^-1,-2.104928638×10^0,-6.998780921×10^-2,2.118649432×10^0
4.228479250×10^0,2.494733013×10^-1,-2.049722736×10^0,1.265805244×10^-2,2.064887515×10^0
4.238428250×10^0,2.555917547×10^-1,-1.977359934×10^0,1.327692175×10^-1,1.998225993×10^0
4.248378250×10^0,2.280781748×10^-1,-1.901205797×10^0,2.738335875×10^-1,1.934318477×10^0
4.258327250×10^0,1.703789837×10^-1,-1.778914205×10^0,4.496684253×10^-1,1.842760549×10^0
4.268277250×10^0,1.330294003×10^-1,-1.638513787×10^0,5.532940967×10^-1,1.734519705×10^0
4.278226250×10^0,1.188392495×10^-1,-1.515704716×10^0,6.419052878×10^-1,1.650310866×10^0
4.288176250×10^0,1.449249210×10^-1,-1.376063851×10^0,6.765159805×10^-1,1.540204151×10^0
4.298125250×10^0,1.468083457×10^-1,-1.229702781×10^0,6.887811001×10^-1,1.417088926×10^0
4.308075250×10^0,1.279400752×10^-1,-1.069676768×10^0,6.789811666×10^-1,1.273417636×10^0
4.318024250×10^0,8.951875202×10^-2,-8.785728031×10^-1,6.159902819×10^-1,1.076730145×10^0
4.327974250×10^0,2.231527727×10^-2,-6.869238782×10^-1,5.400057144×10^-1,8.740529490×10^-1
4.337924250×10^0,-8.987049859×10^-2,-5.087276423×10^-1,4.657343812×10^-1,6.955494479×10^-1
4.347873250×10^0,-1.947173610×10^-1,-3.357605714×10^-1,3.607733519×10^-1,5.299126564×10^-1
4.357823250×10^0,-3.181711234×10^-1,-1.755953944×10^-1,2.338288383×10^-1,4.321371680×10^-1
4.367772250×10^0,-3.587445508×10^-1,3.188252807×10^-2,3.707237050×10^-2,3.620614713×10^-1
4.377722250×10^0,-3.324052563×10^-1,2.523716748×10^-1,-1.750470717×10^-1,4.525772795×10^-1
4.387671250×10^0,-3.311683875×10^-1,4.806458044×10^-1,-3.881276500×10^-1,7.009536096×10^-1
4.397621250×10^0,-2.906885520×10^-1,6.933727723×10^-1,-5.831192820×10^-1,9.514692495×10^-1
4.407570250×10^0,-2.217513413×10^-1,8.702475375×10^-1,-7.447760837×10^-1,1.166702982×10^0
4.417520250×10^0,-1.779563904×10^-1,1.042838632×10^0,-7.996687210×10^-1,1.326141378×10^0
4.427469250×10^0,-1.390308546×10^-1,1.216828381×10^0,-7.746930702×10^-1,1.449189512×10^0
4.437419250×10^0,-1.582239014×10^-1,1.367539195×10^0,-6.769659238×10^-1,1.534105966×10^0
4.447368250×10^0,-1.209581160×10^-1,1.536778666×10^0,-5.517972095×10^-1,1.637314782×10^0
4.457318250×10^0,-4.587935535×10^-2,1.687881244×10^0,-4.273822014×10^-1,1.741753012×10^0
4.467267250×10^0,4.475086100×10^-2,1.805172297×10^0,-2.967659287×10^-1,1.829950731×10^0
4.477217250×10^0,1.514427940×10^-1,1.911047831×10^0,-1.738682730×10^-1,1.924907506×10^0
4.487166250×10^0,2.367024159×10^-1,2.024741676×10^0,-6.604663968×10^-2,2.039600218×10^0
4.497116250×10^0,2.579330895×10^-1,2.132826288×10^0,2.010068089×10^-2,2.148460261×10^0
4.507065250×10^0,2.536677101×10^-1,2.244538513×10^0,9.890331388×10^-2,2.260991444×10^0
4.517015250×10^0,1.695279031×10^-1,2.310575797×10^0,1.873387961×10^-1,2.324348521×10^0
4.526964250×10^0,5.397382043×10^-2,2.349446917×10^0,2.534428847×10^-1,2.363693568×10^0
4.536914250×10^0,-6.146234952×10^-2,2.368443351×10^0,2.074669589×10^-1,2.378306975×10^0
4.546863250×10^0,-1.714076551×10^-1,2.392216376×10^0,9.743317768×10^-2,2.400327686×10^0
4.556813250×10^0,-2.409065640×10^-1,2.423955063×10^0,-9.301399827×10^-2,2.437672193×10^0
4.566762250×10^0,-2.928389387×10^-1,2.481556569×10^0,-3.286848557×10^-1,2.520299860×10^0
4.576712250×10^0,-3.261293301×10^-1,2.487730059×10^0,-5.623186894×10^-1,2.571257182×10^0
4.586661250×10^0,-3.715530594×10^-1,2.471484740×10^0,-7.566038315×10^-1,2.611271310×10^0
4.596611250×10^0,-4.180202610×10^-1,2.419329330×10^0,-8.422810359×10^-1,2.595637242×10^0
4.606561250×10^0,-5.124768039×10^-1,2.375362362×10^0,-8.691106926×10^-1,2.580761946×10^0
4.616510250×10^0,-5.255046927×10^-1,2.300012802×10^0,-8.707509828×10^-1,2.514840223×10^0
4.626460250×10^0,-4.890055321×10^-1,2.243343927×10^0,-8.204321837×10^-1,2.438201663×10^0
4.636409250×10^0,-4.495142050×10^-1,2.174983544×10^0,-7.565783961×10^-1,2.346279460×10^0
4.646359250×10^0,-3.099812939×10^-1,2.061877928×10^0,-6.702816792×10^-1,2.190138471×10^0
4.656308250×10^0,-1.766120790×10^-1,1.941834590×10^0,-5.616041596×10^-1,2.029116220×10^0
4.666258250×10^0,-2.218599899×10^-2,1.804203413×10^0,-4.060506816×10^-1,1.849464606×10^0
4.676207958×10^0,8.906380210×10^-2,1.670237271×10^0,-2.406702268×10^-1,1.689836400×10^0
4.686157958×10^0,1.470136195×10^-1,1.540764713×10^0,-4.560725883×10^-2,1.548434347×10^0
4.696106958×10^0,1.749965299×10^-1,1.400116373×10^0,1.485822813×10^-1,1.418811593×10^0
4.706056958×10^0,2.005305532×10^-1,1.231520680×10^0,2.997129254×10^-1,1.283231673×10^0
4.716005958×10^0,2.015732579×10^-1,1.034723867×10^0,3.912160031×10^-1,1.124426618×10^0
4.725955958×10^0,2.192849675×10^-1,8.480409819×10^-1,3.978164864×10^-1,9.620381285×10^-1
4.735904958×10^0,2.138665720×10^-1,6.698418224×10^-1,3.591441715×10^-1,7.895641288×10^-1
4.745854958×10^0,2.263371115×10^-1,5.203349501×10^-1,2.664634645×10^-1,6.268809506×10^-1
4.755803958×10^0,2.050739494×10^-1,3.559808278×10^-1,1.307865728×10^-1,4.311412786×10^-1
4.765753958×10^0,1.282240671×10^-1,1.548728621×10^-1,3.827236533×10^-2,2.046748366×10^-1
4.775702958×10^0,3.912178304×10^-2,-4.435756266×10^-2,-4.437101126×10^-2,7.393844679×10^-2
4.785652958×10^0,-7.170583081×10^-2,-2.496515501×10^-1,-8.822498247×10^-2,2.743196496×10^-1
4.795601958×10^0,-1.727572655×10^-1,-4.431955576×10^-1,-1.214934468×10^-1,4.909460588×10^-1
4.805551958×10^0,-2.337606452×10^-1,-6.087296480×10^-1,-1.517925489×10^-1,6.695048928×10^-1
4.815500958×10^0,-2.546240953×10^-1,-7.683978117×10^-1,-1.602955699×10^-1,8.252050028×10^-1
4.825450958×10^0,-2.607003391×10^-1,-9.426401603×10^-1,-1.723384953×10^-1,9.930940014×10^-1
4.835399958×10^0,-2.152612608×10^-1,-1.127994558×10^0,-1.975810714×10^-1,1.165224190×10^0
4.845349958×10^0,-1.725402242×10^-1,-1.306891290×10^0,-1.865426977×10^-1,1.331365146×10^0
4.855299958×10^0,-1.495273376×10^-1,-1.476278111×10^0,-1.190225597×10^-1,1.488597278×10^0
4.865248958×10^0,-1.139645354×10^-1,-1.602539377×10^0,1.230619624×10^-2,1.606633690×10^0
4.875198958×10^0,-7.851418253×10^-2,-1.737973756×10^0,1.576643229×10^-1,1.746875866×10^0
4.885147958×10^0,-3.938589446×10^-2,-1.865567603×10^0,3.274417377×10^-1,1.894495136×10^0
4.895097958×10^0,1.243125357×10^-2,-2.002897063×10^0,4.739321776×10^-1,2.058242671×10^0
4.905046958×10^0,4.915118314×10^-2,-2.133844289×10^0,5.917943573×10^-1,2.214932922×10^0
4.914996958×10^0,1.227922596×10^-1,-2.221468323×10^0,6.712531941×10^-1,2.323914865×10^0
4.924945958×10^0,2.119211120×10^-1,-2.279410138×10^0,6.828026144×10^-1,2.388899442×10^0
4.934895958×10^0,2.841046603×10^-1,-2.295215746×10^0,6.867075312×10^-1,2.412529381×10^0
4.944844958×10^0,3.463906632×10^-1,-2.345998229×10^0,6.732541113×10^-1,2.465150154×10^0
4.954794958×10^0,3.884493565×10^-1,-2.387915164×10^0,6.540907390×10^-1,2.506165683×10^0
4.964743958×10^0,3.848382258×10^-1,-2.441972673×10^0,6.571077561×10^-1,2.557952619×10^0
4.974693958×10^0,3.653256651×10^-1,-2.442988919×10^0,6.409485371×10^-1,2.551954688×10^0
4.984642958×10^0,3.315014229×10^-1,-2.425991648×10^0,6.048641999×10^-1,2.522139839×10^0
4.994592958×10^0,2.533048538×10^-1,-2.372455711×10^0,5.443311922×10^-1,2.447244552×10^0
5.004541958×10^0,2.061830565×10^-1,-2.334723628×10^0,4.744196892×10^-1,2.391342701×10^0
5.014491958×10^0,1.810742354×10^-1,-2.288310184×10^0,3.528081286×10^-1,2.322417911×10^0
5.024440958×10^0,1.553572674×10^-1,-2.231612073×10^0,2.243949406×10^-1,2.248239626×10^0
5.034390958×10^0,1.311745721×10^-1,-2.152679924×10^0,1.018608356×10^-1,2.159076945×10^0
5.044339958×10^0,9.621684719×10^-2,-2.037366984×10^0,-5.816663951×10^-3,2.039645985×10^0
5.054289958×10^0,5.010632582×10^-2,-1.918601848×10^0,-7.359305620×10^-2,1.920666456×10^0
5.064238958×10^0,1.209131107×10^-3,-1.818570022×10^0,-1.286445916×10^-1,1.823114867×10^0
5.074188958×10^0,-6.102735322×10^-2,-1.715749074×10^0,-1.079827242×10^-1,1.720226581×10^0
